戣	乛戈 vg
戮	习戈 xg
戳	习戈 xg
戴	十八 ub
户	丶尸 du
扇	户习 hx
扈	户巴 hb
托	扌七 fq
抉	扌夬 fg
拣	扌丶 fd
挨	扌矢 fu
挹	扌巴 fb
捋	扌寸 fc
捏	扌土 ft
捩	扌犬 fq
掇	扌又 fy
掊	扌口 fk
掏	扌缶 ff
掐	扌臼 fj
掩	扌电 fd
掬	扌米 fm
揆	扌天 ft
插	扌臼 fj
揖	扌耳 fe
搏	扌寸 fc
搐	扌田 ft
搔	扌虫 fi
搜	扌又 fy
搠	扌月 fo
搭	扌口 fk
摔	扌十 fu
摘	扌口 fk
摭	扌灬 fh
摴	扌亏 fk
撅	扌人 fr
撇	扌攵 fw
撩	扌小 fx
撵	扌车 fi
攥	扌小 fx
攫	扌又 fy
改	己攵 jw
攻	工攵 gw
放	方攵 fw
敌	千攵 qw
敛	人攵 rw
敬	艹攵 cw
敲	亠又 wy
文	亠乂 wx
旁	亠方 wf
旆	方丨 fl
旨	匕日 bo
旻	日文 ow
昃	日人 or
昔	艹日 co
是	日人 or
普	丷日 bo
晷	日口 ok
暇	日又 oy
暝	日八 ob
暮	艹日 co
曾	丷日 bo
替	夫日 fo
有	𠂇月 uo
朝	十月 uo
未	一乀 an
末	一乀 an
朵	几木 jm
杀	乂朩 xm
杏	木口 mk
杰	木灬 mh
枕	木乛 mv
果	丨乀 ln
枲	厶木 sm
某	甘木 gm
染	氵木 dm
栀	木乛 mv
栽	十木 um
桀	夕木 xm
案	宀木 bm
桊	龹木 jm
桤	木己 mj
桲	木子 mz
梣	木乛 mv
梦	木夕 mx
梭	木夂 mw
棉	木巾 mj
棓	木口 mk
棱	木夂 mw
棻	艹木 cm
棼	木刀 md
椭	木月 mo
楚	木人 mr
楫	木耳 me
榑	木寸 mc
榫	木十 mu
槊	丷木 bm
槔	木十 mu
槜	木乃 mn
橘	木口 mk
橛	木人 mr
檄	木攵 mw
檐	木口 mk
檗	尸木 um
檩	木小 mx
欲	八人 br
歃	千人 qr
歙	人人 rr
歹	一夕 ax
殓	歹一 da
毁	臼又 jy
毂	士又 uy
气	丿乛 pv
氲	气皿 qm
汆	入水 ru
汛	氵十 du
汞	工水 gu
汩	氵日 do
沈	氵乛 dv
沉	氵几 dj
沓	水日 uo
沛	氵丨 dl
泂	氵口 dk
泉	白水 bu
泓	氵厶 ds
泺	氵乐 dl
派	氵乀 dn
浚	氵夂 dw
浟	氵攵 dw
浥	氵巴 db
涅	氵土 dt
涓	氵月 do
涡	氵内 dn
涪	氵口 dk
淄	氵田 dt
淏	氵天 dt
淘	氵缶 df
淹	氵电 dd
渑	氵电 dd
温	氵皿 dm
湣	氵日 do
湮	氵土 dt
溘	氵皿 dm
溚	氵口 dk
溟	氵八 db
溥	氵寸 dc
溲	氵又 dy
滔	氵臼 dj
滴	氵口 dk
漆	氵氺 du
漏	氵雨 dy
漪	氵口 dk
漱	氵人 dr
潏	氵口 dk
潦	氵小 dx
潺	氵子 dz
澍	氵寸 dc
澹	氵口 dk
澼	氵十 du
激	氵攵 dw
濩	氵又 dy
濮	氵乀 dn
瀍	氵土 dt
瀵	氵八 db
瀹	氵艹 dc
灰	𠂇火 uh
灵	彐火 eh
灾	宀火 bh
炔	火夬 hg
炱	厶火 sh
炼	火丶 hd
烁	火乐 hl
焆	火月 ho
焙	火口 hk
焦	亻灬 rh
焰	火臼 hj
熏	丿灬 ph
熜	火心 hx
熬	龶灬 fh
熹	士灬 uh
燊	火木 hm
燎	火小 hx
燏	火口 hk
燕	廿灬 nh
燮	火又 hy
爚	火艹 hc
父	八乂 bx
牵	大牛 dn
犀	尸牛 un
犬	大丶 dd
狴	犭土 qt
狷	犭月 qo
狻	犭夂 qw
獒	龶犬 fq
獗	犭人 qr
獠	犭小 qx
玃	犭又 qy
玉	王丶 wd
玦	王夬 wg
玺	𠂊玉 dy
琄	王月 wo
琛	王木 wm
琶	王巴 wb
瑕	王又 wy
璁	王心 wx
璈	王攵 ww
璨	王米 wm
璬	王攵 ww
甘	廿一 na
电	丨乛 lv
畜	亠田 wt
畲	人田 rt
疁	田丿 tp
疐	十人 ur
瘌	疒刂 bd
瘕	疒又 by
瘙	疒虫 bi
瘛	疒心 bx
瘟	疒皿 bm
瘦	疒又 by
瘩	疒口 bk
癖	疒十 bu
癜	疒又 by
白	丿日 po
皑	白己 bj
皞	白十 bu
皦	白攵 bw
皴	厶又 sy
盖	𦍌皿 ym
盘	舟皿 vm
眈	目乛 ov
眢	夕目 xo
眷	龹目 jo
眸	目牛 on
睽	目天 ot
瞀	龴目 so
瞌	目皿 om
瞍	目又 oy
瞑	目八 ob
瞥	丶目 do
瞭	目小 ox
瞻	目口 ok
矍	目又 oy
知	矢口 uk
砉	丰石 fu
砻	龙石 lu
砾	石乐 ul
硇	石乂 ux
碚	石口 uk
碟	石木 um
碧	王石 wu
磔	石木 um
磕	石皿 um
磨	广石 gu
磬	士石 uu
社	礻土 pt
祁	礻阝 pe
祟	出小 ix
祭	丿小 px
祸	礻内 pn
禋	礻土 pt
福	礻田 pt
禒	礻豕 pu
秉	丿乀 pn
穷	宀力 bl
穸	宀夕 bx
空	宀工 bg
突	宀犬 bq
窃	宀刀 bd
窄	宀乍 bv
窅	宀目 bo
窈	宀力 bl
窑	宀缶 bf
窒	宀土 bt
窖	宀口 bk
窗	宀夂 bw
窘	宀口 bk
窟	宀出 bi
窠	宀果 bg
窣	宀十 bu
窦	宀大 bd
窨	宀日 bo
窬	宀刂 bd
窭	宀女 bn
窸	宀心 bx
窿	宀生 bu
竑	立厶 ls
竣	立夂 lw
筇	𥫗阝 ve
筱	𥫗攵 vw
篼	𥫗儿 ve
簌	𥫗人 vr
簠	𥫗皿 vm
簪	𥫗日 vo
簿	𥫗寸 vc
籍	𥫗日 vo
籥	𥫗艹 vc
粜	出米 im
粟	西米 xm
糌	米日 mo
糵	艹米 cm
紊	文小 wx
素	龶小 fx
索	十小 ux
累	田小 tx
縠	士又 uy
縻	广小 gx
繇	丿小 px
纛	龶小 fx
纮	纟厶 ss
练	纟丶 sd
绉	纟彐 se
绢	纟月 so
绫	纟夂 sw
绳	纟电 sd
绵	纟巾 sj
绺	纟口 sk
缀	纟又 sy
缁	纟田 st
缉	纟耳 se
缗	纟日 so
缚	纟寸 sc
缫	纟果 sg
缬	纟人 sr
缭	纟小 sx
缴	纟攵 sw
缺	缶夬 fg
罂	冂缶 kf
罄	士缶 uf
罨	罒电 sd
罴	罒灬 sh
罽	罒刂 sd
美	𦍌大 yd
羧	⺶夂 yw
羹	𦍌大 yd
翃	𠂇习 ux
翅	十习 ux
翈	甲习 jx
翰	十习 ux
翱	白习 bx
翼	习八 xb
翾	罒习 sx
老	耂匕 lb
者	耂日 lo
耆	耂日 lo
耒	丰乀 fn
耷	大耳 de
聋	龙耳 le
肉	内人 nr
肖	⺌月 xo
肩	户月 ho
肯	止月 vo
肱	月厶 os
育	亠月 wo
肺	月丨 ol
胃	田月 to
脊	冫月 do
脖	月子 oz
脟	月寸 oc
